,newstitle,newscomname
0,"'국민의짐' 표현 ""사과하라""..이재명 ""국민의짐 진짜 안 되길 바란다""",뉴시스
1,'사상초유' 검찰총장까지 수사 받나..이성윤에 달렸다,뉴시스
2,100kg 넘는 아들 목 졸라 살해한 76세 노모에 징역 20년 구형,연합뉴스
3,[단독] 고창서 70대 여성 독감 백신 접종 후 또 사망,더팩트
4,"[단독] ""불투명 비말 칸막이 때문에 칠판이 안 보여요"".. 초등학교 '깜깜이 수업'",서울신문
5,"[단독] 참모들 부른 尹 ""라임 비호세력 처단"" 직접 썼다",국민일보
6,코로나에 다 망했다는데..'빵집'만 살아남은 이유는?,헤럴드경제
7,"[단독]""머리 감기는데 가슴을.."" 요양보호사 42%가 성희롱 당했다",머니투데이
8,"""외국인 건보혜택 중국인이 71% 차지..5년반 동안 2조4천억원""",연합뉴스
9,1억 마세라티·5천 벤츠 몰며 서울 공공임대주택 거주 어떻게 가능?(종합),뉴시스
10,秋가 때리면 커지는 윤석열 존재감..'가족 수사' 이번엔 다를 수도,뉴스1
11,일본 활어차 싣고 온 바닷물 53t 매일 부산서 무단방류,연합뉴스
12,"김진숙, 문 대통령에 편지 ""옛 동지가 묻는다..언제까지 약자가 약자를 응원해야 하나""",경향신문
13,"[단독]로젠택배 40대 기사, '갑질' 호소 유서 남기고 극단적 선택",뉴스1
14,손흥민 토트넘 잔류시 최고 주급 유력..EPL 톱5 진입 가능성도,스포티비뉴스
15,"""확진자 쏟아지는 부산 북구에 차마""..순천시,구상권 청구 보류",뉴스1
16,"코로나도 독감도 걱정..""우리 아이는 급식 대신 하교 시킬래요""",머니투데이
17,"'정경심 안대 퍼포먼스' 5명, 검찰송치..모욕 혐의 적용",뉴시스
18,"서울대 ""나경원 아들 대신 대학원생 학회 참석해 발표""",뉴시스
19,"'불청' 김홍표 ""교통사고로 4번 대수술, 일용직 조경에 대리운전도""",뉴스엔
20,"[단독] ""그 알량한 돈때문에""..300명 정리해고 여행박사 사장의 마지막 편지",매일경제
21,"30대 남성의 수상한 기록, 2년여간 식욕억제제 2만정 타갔다",머니투데이
22,음주운전 사고부담금 최대 1억6500만원..전동킥보드도 차보험 보상,아시아경제
23,"주호영, 문대통령에 추미애 즉각 경질 요구",연합뉴스
24,"[예천 육상] ""누구야?!"" 슈퍼유망주 '초미네이터' 등장에 흥분",에스티엔
25,27m길이 명나라 그림 850억원에 낙찰..중국 고서화 최고가,연합뉴스
26,"소형 전기밥솥, 보온 기능에 차이..밥 딱딱하게 굳는 제품도",뉴스1
27,토트넘 '날벼락'..레알 레길론 재영입 고려,스포티비뉴스
28,"'20만원 입양' 미혼모·아기 결국 헤어졌다, 입건도 검토",뉴시스
29,"'노는 언니' 박세리 ""잘생긴 남자만 만났다"" 10년지기 골프 후배들 폭로에 한탄",뉴스엔
30,"""강원랜드 20초만에 털려..열쇠 분실 6년간 몰라""",서울신문
31,환불원정대로 본 예능발 메가히트곡 탄생 가능성,ize
32,"'러시아 미녀' 라자레바, 차원이 다른 대박 외인..한국 왜 왔니",OSEN
33,"손흥민, ""영어 못하는 느낌 아니까"".. '신입' 비니시우스 돕는 이유",스포탈코리아
34,"싱가포르인 40% ""'K방역'이라면 안심, 여행제한 풀리면 한국行""",아시아경제
35,방 40개에 화장실은 3개뿐.. 주거의 최저선 비웃는 고시원들,오마이뉴스
36,'10조원에 인텔 낸드 인수'..SK하이닉스에 호재? 악재?,연합뉴스
37,"정청래 ""秋, 강단 있어""..김근식 ""노무현 탄핵도 강단 있게 해""",뉴시스
38,"[단독]비 ""작은 소식?"" ♥김태희 임신 아니다..궁금증 증폭",스타뉴스
39,전국노래자랑 현장에서 포착한 대한민국 초상,연합뉴스
40,"""추미애, 정치적 목적의 윤석열 망신주기""..법조계 한목소리",뉴스1
41,"짙은 안개 속 '쾅, 쾅'..서해안고속도서 차량 15대 추돌(종합)",연합뉴스
42,아프리카서 해적 사살 명령 대만 어선의 중국인 선장 기소돼,연합뉴스
43,"'최파타' 유진 ""딸 로희, 내가 S.E.S.였다는 거 알고 있어..엄마처럼 가수 될 거라더라""",마이데일리
44,"'손흥민은 퇴장 당했는데..' 팬들, 라울 히메네스 행동에 어리둥절",스포츠조선
45,"어느 무형문화재 장인의 한탄 ""나 죽으면 할 사람이 없어""",오마이뉴스
46,"""제1야당에 국민의짐이 뭐냐"" ..이재명 발언에 정회소동",뉴스1
47,"[단독] '밥심' 박해미 ""전남편 음주사건 심경 고백 후련, 子 황성재 고마워 눈물"" (인터뷰)",엑스포츠뉴스
48,"""수능 한달여 앞두고"" .. 대치동 학원가 60명 자가격리 '방역 비상'",아시아경제
49,"'허민 조사'·'장재영 9억'..키움, 계속 이슈의 핵",KBS
